,Industry,Company,QMan,QMRank,FS,FSRank,QGS,QGSRank,AAT,AATRank,VLTI,VTLIRank,CI,CIRank,QMar,QMarRank,CER,CERRank,UCA,UCARank,TOTAL,Rank,Year
37,Heavy construction,0ROK Property Solutions,5.5,7,4.3,10,5.5,7,4.9,9,4.6,8,5.6,7,6.4,1,6.2,3,5.1,9,47.9,8,2009
199,Specialty finance,3i,6,4,5.3,9,5.5,7,5.8,4,5.5,4,5.8,5,5.5,6,5.3,4,5,5,49.5,4,2009
78,Health,Abcam,6.3,5,7,4,8,1,6.7,4,7.3,1,6.3,3,5,9,4.7,8,5,9,56.3,6,2009
190,Specialty finance,Aberdeen Asset Management,6.5,3,5.6,5,4.8,10,4.8,10,5.4,6,5.3,7,5.3,7,4,8,5.8,3,47.3,7,2009
96,Insurance,Admiral,7.7,1,7.4,2,7.1,1,6.4,5,7.3,1,7.8,1,7.7,1,5.8,3,6.8,1,63.9,1,2009
106,Media,Aegis,4.6,9,5.8,6,5.9,7,4.8,9,6,6,5.8,6,5.3,7,5.1,6,5.2,7,48.4,7,2009
217,Transport,Aer Lingus,4.5,10,3.4,9,4.4,10,3.5,10,2.5,10,3.6,10,3.8,10,4.1,9,3.6,10,33.2,10,2009
200,Support services,Aggreko,7.2,3,6.8,3,7,3,6.1,4,6.5,4,6,4,6.3,2,5.5,6,7.2,2,58.5,3,2009
1,Banking,Allied Irish Bank (GB),4,10,3.2,9,4.7,9,3.3,10,3.8,9,4.2,9,3.8,9,4,7,3.5,8,34.6,9,2009
210,Telecoms,Alternative Networks,4.3,6,3.7,7,4.3,6,2.7,7,3.3,6,3,6,3,6,3,7,4,6,31.3,7,2009
97,Insurance,Amlin,7.2,4,7.7,1,6.9,2,6.9,3,7,2,6.3,2,4.8,7,5.2,9,6,5,57.9,4,2009
116,Extractive,Anglo American,6.5,7,5.8,8,7.4,6,5.8,8,6,8,5.4,8,5.5,7,4.7,9,6.6,8,53.7,8,2009
218,Transport,Arriva,5.4,7,6.4,5,5.2,8,4.8,7,5.9,6,4.9,8,4.8,9,6.1,5,6.2,5,49.8,7,2009
162,General retailers,Ashley (Laura),5.2,9,4.3,7,6.2,4,4.3,7,3.7,8,4.3,7,4,8,4.7,3,4.2,9,40.8,8,2009
191,Specialty finance,Ashmore Group,6,4,5,10,6,2,5.8,3,5,8,5.8,3,4.5,9,3.6,10,4.8,6,46.5,8,2009
68,Food,Associated British Foods,7,3,7.9,2,6.4,3,6.5,4,6.8,3,4.9,6,5.4,5,5.8,5,5.5,8,56,3,2009
79,Health,AstraZeneca,6.6,3,7.8,2,7.2,4,7.8,2,6.2,5,5.2,9,8.2,2,6.2,2,6.2,5,61.4,2,2009
180,Software,Autonomy,7.6,1,7.2,2,7.8,1,7.7,1,6.4,2,7.9,1,6.5,3,4.6,10,6.8,1,62.4,1,2009
181,Software,Aveva Group,7,3,8,1,7.3,3,6.6,2,6.8,1,6.8,2,6.5,3,6.5,2,6.8,2,62.1,2,2009
219,Transport,Avis Europe,5.3,8,4,7,5.8,4,4.3,9,4.1,7,4.6,9,5.3,7,5.2,8,5.2,8,43.9,8,2009
98,Insurance,Aviva,4.6,10,5.3,7,4.8,9,4.5,10,5.3,6,4.9,9,4.3,8,5.4,6,5.2,7,44.3,8,2009
201,Support services,Babcock International,6,6,6.2,7,6.3,5,6.1,5,6.1,7,5.6,6,5.3,8,5.5,6,6.6,3,53.8,5,2009
48,Aero and defence,BAE Systems,7.9,2,8.2,1,7.3,5,7.8,1,7.7,1,6.8,5,6.6,4,5.9,7,6.8,4,64.9,3,2009
28,Heavy construction,Balfour Beatty,7.5,1,7.6,1,7.3,1,7.7,1,6.5,1,6.9,1,6.3,2,6.6,1,6.8,1,63.1,1,2009
2,Banking,Banco Santander,6.9,2,6.9,2,6.2,2,6.5,3,6.7,2,6.5,1,6.9,1,4,5,5.6,2,56.1,2,2009
3,Banking,Bank of Ireland,4,9,3,10,4.3,10,3.4,9,3.6,10,3.6,10,3.1,10,3.9,8,3.1,10,32.1,10,2009
4,Banking,Barclays,6.3,4,5.8,5,6.1,3,6.9,1,6.3,3,6,3,5.6,5,4.6,3,5.6,2,53.1,3,2009
38,Home construction,Barratt Developments,4.6,6,1.8,10,5.7,6,3.7,8,4.6,5,6.1,2,7,1,6,2,4.1,6,43.6,5,2009
39,Home construction,Bellway,7,2,6.6,2,6,2,5.1,4,6,2,4.7,9,4.6,7,5.3,4,5.4,3,50.7,3,2009
40,Home construction,Berkeley Group,7.7,1,7.9,1,7.7,1,6.2,1,6.7,1,6.3,1,7,1,6.3,1,6.9,1,62.7,1,2009
117,Extractive,BG Group,7.7,3,7.8,1,7.3,7,7.3,5,7.7,2,6.5,4,7.5,1,7,1,8.2,2,67,2,2009
118,Extractive,BHP Billiton,7.2,4,6,7,7,8,7.8,1,7.2,5,6.3,6,5.2,8,6,3,7.5,4,60.1,7,2009
