,Company,Industry,Total,QM.Rank,QMan,QGS.Rank,QGS,QMar.Rank,QMar,FS.Rank,FS,VTLI.Rank,VLTI,CER.Rank,CER,ATT.Rank,ATT,UCA.Rank,UCA,CI.Rank,CI,Year
25,BAE Systems,Aero and defence,57.38,136,6.1,101,6.5,62,6.4,53,7.1,99,6.1,79,5.9,58,6.7,79,6.2,60,6.3,2010
57,Chemring Group,Aero and defence,54,96,6.5,102,6.5,177,5.2,86,6.7,134,5.8,155,5.2,132,5.8,59,6.5,95,5.8,2010
61,Cobham,Aero and defence,58.62,66,6.9,103,6.5,109,5.8,50,7.2,67,6.6,97,5.7,75,6.5,45,6.8,33,6.8,2010
93,GKN,Aero and defence,54.56,78,6.8,65,6.9,84,6,135,6.2,159,5.4,130,5.4,135,5.8,75,6.3,96,5.8,2010
141,Meggitt,Aero and defence,51.83,132,6.2,104,6.5,194,4.8,153,5.8,144,5.7,140,5.3,98,6.2,108,6,158,5.3,2010
165,QinetiQ Group,Aero and defence,46.08,212,4.8,196,5.4,178,5.2,217,4.1,211,4.3,86,5.8,170,5.3,188,5,71,6.2,2010
174,Rolls-Royce,Aero and defence,67.1,31,7.5,14,7.8,13,7.3,25,7.9,19,7.4,7,7.1,13,7.5,44,6.8,2,7.81,2010
211,Ultra Electronics,Aero and defence,63.42,32,7.5,18,7.6,101,5.8,20,8,28,7.3,109,5.6,39,6.9,23,7.1,6,7.67,2010
212,UMECO,Aero and defence,50,146,5.9,169,5.9,184,5,161,5.7,181,5,137,5.3,156,5.5,131,5.7,99,5.8,2010
220,VT Group,Aero and defence,51.48,147,5.9,176,5.8,173,5.2,142,6,127,5.9,98,5.7,142,5.7,100,6.1,163,5.2,2010
10,Allied Irish Bank (GB),Banking,36.71,218,4.6,204,5.3,222,3.7,214,4.1,221,3.7,190,4.7,221,3.9,229,3,224,3.7,2010
27,Banco Santander,Banking,57.98,79,6.7,138,6.1,23,7,96,6.6,130,5.9,111,5.6,66,6.6,32,6.8,36,6.7,2010
28,Bank of Ireland,Banking,36.57,219,4.6,210,5.1,219,3.9,218,4,222,3.7,191,4.7,222,3.9,230,3,225,3.7,2010
29,Barclays,Banking,60.1,48,7.2,121,6.3,79,6,46,7.2,45,6.9,41,6.3,15,7.4,30,6.9,101,5.8,2010
59,Co-operative Bank,Banking,53.57,158,5.8,128,6.3,107,5.8,157,5.8,152,5.6,1,7.75,174,5.3,104,6,129,5.5,2010
108,HSBC,Banking,66.82,28,7.6,52,7,15,7.3,2,8.75,12,7.6,6,7.13,5,7.86,18,7.1,45,6.5,2010
