,QMan ,Rank ,FS ,Rank ,QG&S ,Rank ,AAT ,Rank,VLTI ,Rank ,CI ,Rank ,QMar ,Rank ,C&ER ,Rank  ,UCA ,Rank ,Total,Rank,Industry,Year
Banco Santander ,7.1,1,6.8,2,5.7,8,5.9,4,5.8,5,6,6,6.5,2,5.2,9,6.4,3,55.3,3,Banking,2011
Barclays ,6.1,5,6.2,4,6,5,6.4,3,6.1,3,5.4,8,5.5,8,5.2,8,6.1,6,53.1,6,Banking,2011
Co-operative Bank ,5.9,8,5.6,7,6,5,4.7,10,5.3,9,6.1,4,5.6,7,7.1,1,5.8,7,52,7,Banking,2011
HSBC ,7.1,1,7.3,1,6.6,1,7,1,6.5,1,6.2,3,6.8,1,5.8,4,7.2,1,60.3,1,Banking,2011
IND Direct ,6.1,7,5.7,6,6.4,3,5.7,6,6.1,3,6.5,1,5.8,3,5.7,5,6.1,5,54.1,5,Banking,2011
Lloyds Banking  Group ,5.8,9,5.2,9,5.3,10,5.5,7,5.8,5,4.8,10,5.5,8,4.7,10,4.5,10,47.2,9,Banking,2011
Nationwide Building Society ,6.6,4,6.2,4,6.2,4,5.9,5,5.8,7,6.1,4,5.7,6,6,2,6.4,4,54.8,4,Banking,2011
Royal Bank of Scotland ,6.1,6,5.2,9,5.8,7,5.1,8,5.7,8,5.8,7,5.8,5,5.6,6,4.6,9,49.4,8,Banking,2011
Standard Chartered ,6.9,3,6.6,3,6.6,2,6.6,2,6.4,2,6.5,1,5.8,3,5.8,3,6.4,2,57.6,2,Banking,2011
Yorkshire Building Society ,5.4,10,5.3,8,5.6,9,4.9,9,5.1,10,5.1,9,4.9,10,5.6,7,5.4,8,47.2,9,Banking,2011
Barr (AG) ,6.4,8,7.2,7,7.2,4,5.6,9,5.9,9,6.2,9,6.6,7,6.2,9,6.1,9,57.4,8,Beverages,2011
Britvic ,6.8,5,6.9,8,7.7,2,5.9,7,6.7,5,7.5,2,7.3,4,7.3,3,7.2,5,63.3,5,Beverages,2011
Carlsberg (UK) ,6.6,7,7.3,6,6.8,8,6.2,6,6.5,6,6.3,8,6.7,6,6.6,8,7.4,3,60.3,7,Beverages,2011
C&C Group ,7.5,1,7.6,5,6.7,9,6.5,5,6.5,6,6.9,4,6.3,8,7.3,3,6.7,7,62,6,Beverages,2011
Coca-Cola Enterprises  ,6.8,6,8.4,2,7.7,3,7.3,4,6.8,4,6.7,5,7.3,3,7.7,2,7.3,4,65.8,3,Beverages,2011
Diageo ,7.3,4,9,1,8.4,1,8.1,1,7.9,1,7.7,1,7.9,1,8.1,1,7.9,1,72.3,1,Beverages,2011
Edrington Group ,6.2,9,6.6,9,6.9,7,5.4,10,6,8,5.5,10,5.3,10,5.9,10,5.8,10,53.6,10,Beverages,2011
InBev (UK) ,7.4,3,7.7,4,7.1,5,7.3,3,7.1,3,6.6,6,7.2,5,6.9,6,7.2,5,64.4,4,Beverages,2011
Molson Coors Brewing Co. (UK) ,5.8,10,5.8,10,6.1,10,5.6,8,5.9,10,6.3,7,6.2,9,6.8,7,6.7,7,55.2,9,Beverages,2011
